T6_Z2
Time-Data=(A2/86400)+25569;Temp;Humi;Vbat
1731415803;32.38;28.59;2982
1731416106;31.13;30.08;2981
1731416407;30.05;31.39;2980
1731416707;29.12;32.55;2978
1731417007;28.32;33.59;2976
1731417308;27.6;34.55;2974
1731417608;26.98;35.48;2971
1731417906;26.44;36.38;2970
1731418209;25.96;37.15;2968
1731418509;25.55;37.86;2967
1731418810;25.18;38.58;2965
1731419110;24.94;39.46;2964
1731419410;27.89;37.04;2963
1731419711;33.61;29.4;2963
1731420011;39.06;23.54;2965
1731420312;42.78;20.18;2967
1731420609;43.99;19.18;2970
1731420912;42.94;19.7;2972
1731421213;40.97;21.1;2975
1731421513;38.83;22.89;2979
1731421813;36.78;24.66;2981
1731422114;34.94;26.38;2983
1731422414;33.34;27.99;2983
1731422715;31.94;29.44;2982
1731423015;30.74;30.78;2981
1731423315;29.71;31.98;2980
1731423616;28.81;33.09;2977
1731423916;28.02;34.08;2975
1731424216;27.33;34.82;2973
1731424514;26.7;35.45;2971
1731424815;26.15;36.09;2969
1731425118;26.2;36.76;2968
1731425418;30.31;32.42;2967
1731425718;35.94;25.8;2967
1731426019;40.82;21.19;2968
1731426319;43.64;18.92;2970
1731426619;44.44;18.3;2972
1731426920;43.26;18.9;2975
1731427220;41.21;20.17;2978
1731427521;39.01;21.74;2981
1731427821;36.93;23.3;2983
1731428121;35.05;24.7;2985
1731428422;33.42;25.99;2984
1731428720;32;27.26;2984
1731429023;30.75;28.46;2982
1731429323;29.68;30.02;2980
1731429623;28.76;31.73;2978
1731429924;27.99;33.18;2977
1731430222;27.32;34.27;2975
1731430524;26.72;35.13;2972
1731430825;26.19;35.9;2970
1731431125;25.73;36.68;2968
1731431426;26.72;37.1;2967
1731431726;31.79;31.01;2966
1731432024;37.42;24.68;2967
1731432327;41.8;20.61;2969
1731432627;43.24;19.38;2971
1731432927;42.27;19.91;2973
1731433228;40.37;21.29;2976
1731433528;38.28;22.96;2978
1731433829;36.31;24.71;2981
1731434129;34.5;26.43;2983
1731434429;32.93;28.02;2984
1731434730;31.56;29.49;2983
1731435028;30.38;30.87;2982
1731435330;29.36;32.23;2980
1731435631;28.47;33.21;2978
1731435931;27.71;34.11;2976
1731436232;27.04;35.02;2973
1731436532;26.46;35.8;2971
1731436832;25.95;36.57;2969
1731437133;25.5;37.32;2968
1731437433;25.11;38.14;2966
1731437734;24.73;39.18;2964
1731438034;24.39;39.58;2963
1731438334;24.05;41.15;2961
1731438635;23.89;41.7;2960
1731438935;26.97;38.93;2960
1731439235;32.68;30.85;2960
